Chemical,PCA1,PCA2,PCA3
Pinene <1R-alpha->,0.0012024994308169649,8.200092147419962e-4,9.805885417668691e-4
Pinene <alpha->,-0.2160394307362863,0.0015148098333655356,-0.10991669024393787
Pinene <beta->,-0.15811119872078616,-0.013379030778421338,-0.07485890948220807
"Carene, <3->",0.007783011105219536,-0.025516921616372295,-0.005140114186592025
Carene <delta-3>,0.0010111052054375068,-0.009251628102603725,2.8857829247054046e-4
Phellandrene <beta->,7.205286842860058e-5,-2.2546346107450572e-4,-4.307509470615473e-5
p-Cymene,6.943381479053602e-4,-0.0015912052944834323,2.497992527065779e-4
D-Limonene,-0.08145790267973482,0.027457378841341983,-0.3763225337078851
"Limonene oxide, trans-",1.3111810362310895e-6,1.406991894450915e-6,-3.524808841508304e-7
Copaene <alpha->,6.789558319875012e-4,-0.005328221562209155,2.3978755542761974e-4
Copaene <beta->,-0.04008735052585357,4.805493267495258e-4,0.004846581046136715
Bourbonene <beta->,0.0010237809342682972,-0.008794179426491638,3.4352082726899787e-4
"Bergamotene <alpha-, cis->",1.0165031642694814e-5,-3.2903883074731267e-6,-2.342226841094869e-5
Caryophyllene,-0.38313341737732265,-0.11248631858681239,-0.08315195193186489
Caryophyllene oxide,1.7510297372538158e-4,-5.525262783621854e-4,1.0632699092877206e-4
Caryophyllene <9-epi-(E)->,-0.015918507639119683,-5.897970608093242e-4,-0.009656337871854026
Murrolene <alpha->,0.0018583062279284442,-0.01378417897338796,-8.659656410494133e-5
Murrolene <gamma->,0.0724953576701363,-0.5629036302792461,6.446808945694432e-4
Muurrolene <gamma->,-0.8692367693898598,0.002544054027157733,0.11535386842819031
"Farnesene <(E,E)-, alpha->",-0.13148984149619036,-0.004767047342379682,-0.01678110670150941
"Farnesene <(E)-, beta->",0,0,0
