Chemical,PCA1,PCA2,PCA3
Pinene <alpha->,-0.3694054951003858,-0.04222445773196768,0.15161637401632205
Pinene <beta->,-0.42952245513592047,-0.030539740111328314,0.14288663760297576
D-Limonene,-0.2842094050456886,0.017388770190823966,0.23680404083464024
Copaene <alpha->,-0.02968752926444476,0.012525154207050311,-0.0020568676557463114
Copaene <beta->,-0.15350306789802204,0.010467234110642099,0.021549007654736052
Caryophyllene,-1.039906090370386,-0.07244827850110819,0.23059138797134654
Caryophyllene <9-epi-(E)->,-0.18512653312049238,0.012864393955721181,0.02304459430566034
Muurrolene <gamma->,-3.1537072058804876,-0.21159749453435522,-0.13084850318005145
"Farnesene <(E,E)-, alpha->",-1.0542288409208478,0.7222694225055258,-0.002285089263363981
"Farnesene <(E)-, beta->",-0.05799868430074389,0.010896073721749633,-0.29177096951209985
