Chemical,PCA1,PCA2,PCA3
Pinene <1R-alpha->,0.0010974161709304251,0.002100021326266158,7.483803208667735e-4
Pinene <alpha->,-0.0034770984258246417,2.791879531077814e-4,-0.0011329108875941466
Pinene <beta->,-0.018489790303189476,-0.014450660788604422,-7.924944077868328e-4
"Carene, <3->",-0.028050414828274063,-0.021052343783289917,1.726060901403527e-4
Carene <delta-3>,-0.010354410207391642,0.0011577591362525068,-0.004624927180428838
Phellandrene <beta->,-2.473608475245002e-4,-1.785699979436662e-4,-2.9867403439529004e-5
p-Cymene,-0.0017130281120044234,3.8618689473796065e-4,-3.219236700562109e-4
D-Limonene,0.015714290979164183,-0.18689790481155077,-0.0016439278915474343
"Limonene oxide, trans-",1.754805004595872e-6,-2.308587960501189e-6,-2.341832876213655e-6
Copaene <alpha->,-0.00595393664806535,6.86806847179991e-4,7.981182393996012e-4
Copaene <beta->,1.7624663892682925e-48,0,0
Bourbonene <beta->,-0.009837963641587002,0.0011141660111376498,-3.8147571517345197e-4
"Bergamotene <alpha-, cis->",-2.8896975435029306e-6,-8.562416254613136e-5,2.2734094316868774e-5
Caryophyllene,-0.12986101798422015,0.00920843286963692,-0.030146051422896607
Caryophyllene oxide,-6.011545786005002e-4,3.043059796724729e-4,-0.0014461034261149463
Caryophyllene <9-epi-(E)->,0,0,0
Murrolene <alpha->,-0.015399888852281919,-5.269605314271612e-4,1.903924797581469e-5
Murrolene <gamma->,-0.6292472317097215,-0.005234407442522407,0.006280356527961055
Muurrolene <gamma->,0,0,-0
"Farnesene <(E,E)-, alpha->",-0.001429797734890989,1.9526270130117103e-4,-2.3568397224019166e-4
"Farnesene <(E)-, beta->",0,0,-0
