sample_no,id,date,other_mites,eriophyoids,p_fructiphilus,rose_spp,symptoms,rrv,city,state,county,grams_dry_weight,collector,shade,notes,SourceFile,DateTimeOriginal,lat,lon,lon_lat
295,Pheno 1,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,0.1376,Austin Fife,open sun,NA,./1-2020-03-31-09-55-02.jpg,2020:03:31 09:55:02,-84.3074438888889,30.4451988888889,30.4451988888889 -84.3074438888889
296,Pheno 2,2020-03-31T00:00:00Z,6,4,NA,KO,No,NA,Tallahassee,FL,Leon,7.8305,Austin Fife,open sun,NA,./2-2020-03-31-09-55-29.jpg,2020:03:31 09:55:29,-84.3074269444444,30.4451858333333,30.4451858333333 -84.3074269444444
297,Pheno 3,2020-03-31T00:00:00Z,2,15,NA,KO,No,NA,Tallahassee,FL,Leon,17.9768,Austin Fife,open sun,NA,./3-2020-03-31-09-55-38.jpg,2020:03:31 09:55:38,-84.3074138888889,30.4451847222222,30.4451847222222 -84.3074138888889
298,Pheno 4,2020-03-31T00:00:00Z,1,22,NA,KO,No,NA,Tallahassee,FL,Leon,16.261,Austin Fife,open sun,NA,./4-2020-03-31-09-55-48.jpg,2020:03:31 09:55:48,-84.3074027777778,30.4451877777778,30.4451877777778 -84.3074027777778
299,Pheno 5,2020-03-31T00:00:00Z,2,31,NA,KO,No,NA,Tallahassee,FL,Leon,7.3389,Austin Fife,open sun,NA,./5-2020-03-31-09-56-01.jpg,2020:03:31 09:56:01,-84.3073897222222,30.4451847222222,30.4451847222222 -84.3073897222222
300,Pheno 6,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,9.9879,Austin Fife,open sun,NA,./6-2020-03-31-09-56-24.jpg,2020:03:31 09:56:24,-84.3073608333333,30.4451938888889,30.4451938888889 -84.3073608333333
301,Pheno 7,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,3.7346,Austin Fife,open sun,NA,./7-2020-03-31-09-56-35.jpg,2020:03:31 09:56:35,-84.3073538888889,30.4451958333333,30.4451958333333 -84.3073538888889
302,Pheno 8,2020-03-31T00:00:00Z,0,8,NA,KO,No,NA,Tallahassee,FL,Leon,14.4156,Austin Fife,open sun,NA,./8-2020-03-31-09-56-45.jpg,2020:03:31 09:56:45,-84.3073408333333,30.4451958333333,30.4451958333333 -84.3073408333333
303,Pheno 9,2020-03-31T00:00:00Z,8,17,NA,KO,No,NA,Tallahassee,FL,Leon,8.9208,Austin Fife,open sun,NA,./9-2020-03-31-09-56-54.jpg,2020:03:31 09:56:54,-84.3073338888889,30.4451919444444,30.4451919444444 -84.3073338888889
304,Pheno 10,2020-03-31T00:00:00Z,0,0,NA,KO,No,NA,Tallahassee,FL,Leon,8.5494,Austin Fife,open sun,NA,./10-2020-03-31-09-57-07.jpg,2020:03:31 09:57:07,-84.3073258333333,30.4451908333333,30.4451908333333 -84.3073258333333
